anime_titles,anime_ids,anime_genres
Jungle no Ouja Taa-chan,119,"['action', 'comedy']"
Blue Submarine No.6,121,"['action', 'drama', 'science fiction']"
Brain Powered,122,"['action', 'drama', 'science fiction']"
Bubblegum Crisis: Tokyo 2040,123,"['action', 'science fiction']"
Burn Up W,124,"['action', 'comedy', 'science fiction']"
I Dream of Mimi,125,"['comedy', 'erotica', 'magic', 'science fiction']"
Cardcaptor Sakura,126,"['adventure', 'comedy', 'magic', 'romance']"
Lupin III: The Castle of Cagliostro,127,"['adventure', 'comedy']"
City Hunter: The Motion Picture,129,"['action', 'adventure', 'comedy']"
CLAMP School Detectives,130,"['comedy', 'mystery']"
Compiler,131,"['comedy', 'romance', 'science fiction']"
Darkside Blues,132,"['horror', 'psychological', 'science fiction']"
Dragon Ball Z: The History of Trunks,133,"['action', 'drama', 'science fiction']"
Debutante Detective Corps,134,"['action', 'comedy']"
DNA Sights 999.9,135,"['adventure', 'science fiction']"
Domain of Murder,136,"['drama', 'mystery']"
"Don't Leave Me Alone, Daisy",137,"['comedy', 'romance', 'science fiction']"
Bio Armor Ryger,138,"['science fiction', 'supernatural']"
Dragon Ball Z: Dead Zone,139,"['action', 'science fiction']"
Dragon Ball Z: The World's Strongest,140,"['action', 'science fiction']"
Dual! Parallel Trouble Adventure,141,"['adventure', 'comedy', 'science fiction']"
Earthian,142,"['drama', 'supernatural']"
Eat-Man,143,"['action', 'adventure', 'science fiction']"
Eat-Man '98,144,"['action', 'comedy', 'science fiction']"
Juu Senshi Garukiba,145,"['adventure', 'fantasy']"
Fake,146,"['comedy', 'mystery', 'romance']"
Galaxy Express 999: Eternal Fantasy,147,"['drama', 'science fiction']"
Galaxy Fraulein Yuna Returns,148,"['drama', 'magic']"
Genocyber,149,"['horror', 'psychological', 'science fiction']"
Goku II - Midnight Eye,150,"['action', 'science fiction']"
Kaiketsu Tamagon,151,"['adventure', 'comedy']"
Grave of the Fireflies,152,['drama']
GTO: Great Teacher Onizuka,153,"['comedy', 'drama']"
Mobile Suit Gundam - The Movie Trilogy,154,"['action', 'drama', 'science fiction']"
Full Metal Panic? Fumoffu,155,"['action', 'comedy', 'slice of life']"
Gunsmith Cats,156,"['action', 'comedy']"
Haunted Junction,157,"['comedy', 'supernatural']"
Hime-chan's Ribbon,158,"['comedy', 'magic', 'romance']"
Inuyasha,159,"['adventure', 'comedy', 'drama', 'fantasy', 'romance']"
The Irresponsible Captain Tylor,160,"['adventure', 'comedy', 'science fiction']"
Jin-Roh - The Wolf Brigade,161,"['drama', 'psychological', 'romance', 'science fiction', 'thriller']"
The New Adventures of Kimba The White Lion,162,"['action', 'adventure']"
Kite,163,"['action', 'drama', 'erotica', 'psychological']"
Knights of Ramune,164,"['adventure', 'comedy', 'science fiction']"
Kodocha,165,"['comedy', 'drama', 'romance']"
Serial Experiments Lain,166,"['drama', 'mystery', 'psychological', 'science fiction', 'supernatural']"
Lost Universe,167,"['adventure', 'comedy', 'drama', 'science fiction']"
Love Hina,168,"['comedy', 'drama', 'romance']"
Super Dimensional Fortress Macross II: The Movie,169,"['action', 'science fiction']"
Kaitō Kiramekiman,170,"['action', 'comedy', 'science fiction']"
Kaitō Pride,171,[]
Mail Order Maiden 28,172,"['comedy', 'erotica']"
Marriage,173,"['romance', 'slice of life']"
Master of Mosquiton,174,"['adventure', 'comedy', 'supernatural']"
Mermaid Forest,175,"['drama', 'horror', 'mystery']"
Metropolis,176,"['adventure', 'drama', 'science fiction']"
My Neighbors the Yamadas,177,"['comedy', 'slice of life']"
Fushigi Yugi,178,"['adventure', 'drama', 'fantasy', 'romance']"
Kakyūsei,179,"['drama', 'romance']"
Nausicaä of the Valley of the Wind,180,"['adventure', 'drama', 'fantasy', 'science fiction']"
Nazca,181,"['adventure', 'drama', 'fantasy']"
Kaminari Boy Pikkaribee,182,"['comedy', 'science fiction']"
Clockwork Fighters Hiwou's War,183,"['action', 'adventure']"
Ninja Cadets,185,"['adventure', 'comedy', 'supernatural']"
Ninja Resurrection,186,"['action', 'horror', 'supernatural']"
Office Affairs,188,"['drama', 'erotica']"
Karaoke Senshi Mike Jirō,189,[]
Panzer Dragoon,190,"['adventure', 'fantasy']"
Patlabor: The Movie,191,"['action', 'drama', 'mystery', 'science fiction']"
Perfect Blue,192,"['drama', 'horror', 'mystery', 'psychological', 'thriller']"
Phantom Quest Corp.,193,"['action', 'comedy', 'supernatural']"
Pilot Candidate,194,"['action', 'science fiction']"
Please Save My Earth,195,"['drama', 'science fiction']"
Pokémon: The First Movie,196,"['adventure', 'comedy', 'drama', 'mystery', 'science fiction']"
Princess Mononoke,197,"['adventure', 'drama', 'fantasy']"
Karasu Tengu Kabuto,198,"['action', 'fantasy']"
Queen Emeraldas,199,"['adventure', 'science fiction']"
Ranma &frac12; OAV,200,"['action', 'comedy', 'romance']"
Bubblegum Crisis,201,"['action', 'science fiction']"
Cool Devices,202,['erotica']
Karate Master,203,"['action', 'comedy', 'tournament']"
Fist of the North Star,204,"['action', 'adventure', 'drama', 'romance', 'science fiction', 'tournament']"
Kasumin,205,"['comedy', 'slice of life']"
Midnight Panther,206,"['adventure', 'erotica', 'fantasy']"
Revolutionary Girl Utena,207,"['drama', 'magic', 'psychological', 'romance']"
Kick Off 2002,208,['tournament']
Kikou Keisatsu Metal Jack,209,['science fiction']
Rurouni Kenshin: Trust & Betrayal,210,"['action', 'drama', 'romance']"
Saber Marionette J Again,211,"['action', 'comedy', 'science fiction']"
RahXephon: Pluralitas Concentio,212,"['drama', 'psychological', 'romance', 'science fiction']"
Sailor Moon R,213,"['action', 'drama', 'magic', 'romance', 'science fiction']"
Gad Guard,214,"['adventure', 'drama', 'psychological', 'science fiction']"
Sailor Victory,215,"['comedy', 'science fiction']"
Sakura Wars,216,"['action', 'science fiction']"
Rurouni Kenshin: The Motion Picture,217,"['action', 'drama']"
Kinkyuu Hasshin Saver Kids,218,"['adventure', 'science fiction']"
Shinesman,219,"['comedy', 'science fiction']"
The Slayers Next,220,"['adventure', 'comedy', 'fantasy']"
Sonic the Hedgehog: The Movie,221,"['adventure', 'comedy', 'science fiction']"
Kirin Ashita no Calendar,222,[]
Spirit of Wonder,223,"['action', 'comedy', 'romance', 'science fiction']"
Spriggan,224,"['action', 'science fiction']"
Spring and Chaos,225,"['drama', 'slice of life']"
Street Fighter Alpha,226,"['action', 'drama', 'science fiction', 'supernatural']"
Sword for Truth,227,"['action', 'fantasy', 'supernatural']"
Kiteretsu Daihyakka,228,[]
Tenamonya Voyagers,229,"['adventure', 'science fiction']"
Tenchi the Movie - Tenchi Muyo in Love,230,"['adventure', 'comedy', 'drama', 'romance', 'science fiction']"
The Big O,231,"['action', 'mystery', 'psychological', 'science fiction']"
